variable,label
SEQN,Respondent sequence number
SDDSRVYR,Data release cycle
RIDSTATR,Interview/Examination status
RIAGENDR,Gender
RIDAGEYR,Age in years at screening
RIDAGEMN,Age in months at screening - 0 to 24 mos
RIDRETH1,Race/Hispanic origin
RIDRETH3,Race/Hispanic origin w/ NH Asian
RIDEXMON,Six month time period
RIDEXAGM,Age in months at exam - 0 to 19 years
DMQMILIZ,Served active duty in US Armed Forces
DMQADFC,Served in a foreign country
DMDBORN4,Country of birth
DMDCITZN,Citizenship status
DMDYRSUS,Length of time in US
DMDEDUC3,Education level - Children/Youth 6-19
DMDEDUC2,Education level - Adults 20+
DMDMARTL,Marital status
RIDEXPRG,Pregnancy status at exam
SIALANG,Language of SP Interview
SIAPROXY,Proxy used in SP Interview?
SIAINTRP,Interpreter used in SP Interview?
FIALANG,Language of Family Interview
FIAPROXY,Proxy used in Family Interview?
FIAINTRP,Interpreter used in Family Interview?
MIALANG,Language of MEC Interview
MIAPROXY,Proxy used in MEC Interview?
MIAINTRP,Interpreter used in MEC Interview?
AIALANGA,Language of ACASI Interview
DMDHHSIZ,Total number of people in the Household
DMDFMSIZ,Total number of people in the Family
DMDHHSZA,# of children 5 years or younger in HH
DMDHHSZB,# of children 6-17 years old in HH
DMDHHSZE,# of adults 60 years or older in HH
DMDHRGND,HH ref person's gender
DMDHRAGE,HH ref person's age in years
DMDHRBR4,HH ref person's country of birth
DMDHREDU,HH ref person's education level
DMDHRMAR,HH ref person's marital status
DMDHSEDU,HH ref person's spouse's education level
WTINT2YR,Full sample 2 year interview weight
WTMEC2YR,Full sample 2 year MEC exam weight
SDMVPSU,Masked variance pseudo-PSU
SDMVSTRA,Masked variance pseudo-stratum
INDHHIN2,Annual household income
INDFMIN2,Annual family income
INDFMPIR,Ratio of family income to poverty
WTDRD1,Dietary day one sample weight
WTDR2D,Dietary two-day sample weight
DR1ILINE,Food/Individual component number
DR1DRSTZ,Dietary recall status
DR1EXMER,Interviewer ID code
DRABF,Breast-fed infant (either day)
DRDINT,Number of days of intake
DR1DBIH,# of days b/w intake and HH interview
DR1DAY,Intake day of the week
DR1LANG,Language respondent used mostly
DR1CCMNM,Combination food number
DR1CCMTX,Combination food type
DR1_020,Time of eating occasion (HH:MM)
DR1_030Z,Name of eating occasion
DR1FS,Source of food
DR1_040Z,Did you eat this meal at home?
DR1IFDCD,USDA food code
DR1IGRMS,Grams
DR1IKCAL,Energy (kcal)
DR1IPROT,Protein (gm)
DR1ICARB,Carbohydrate (gm)
DR1ISUGR,Total sugars (gm)
DR1IFIBE,Dietary fiber (gm)
DR1ITFAT,Total fat (gm)
DR1ISFAT,Total saturated fatty acids (gm)
DR1IMFAT,Total monounsaturated fatty acids (gm)
DR1IPFAT,Total polyunsaturated fatty acids (gm)
DR1ICHOL,Cholesterol (mg)
DR1IATOC,Vitamin E as alpha-tocopherol (mg)
DR1IATOA,Added alpha-tocopherol (Vitamin E) (mg)
DR1IRET,Retinol (mcg)
DR1IVARA,"Vitamin A, RAE (mcg)"
DR1IACAR,Alpha-carotene (mcg)
DR1IBCAR,Beta-carotene (mcg)
DR1ICRYP,Beta-cryptoxanthin (mcg)
DR1ILYCO,Lycopene (mcg)
DR1ILZ,Lutein + zeaxanthin (mcg)
DR1IVB1,Thiamin (Vitamin B1) (mg)
DR1IVB2,Riboflavin (Vitamin B2) (mg)
DR1INIAC,Niacin (mg)
DR1IVB6,Vitamin B6 (mg)
DR1IFOLA,Total folate (mcg)
DR1IFA,Folic acid (mcg)
DR1IFF,Food folate (mcg)
DR1IFDFE,"Folate, DFE (mcg)"
DR1ICHL,Total choline (mg)
DR1IVB12,Vitamin B12 (mcg)
DR1IB12A,Added vitamin B12 (mcg)
DR1IVC,Vitamin C (mg)
DR1IVD,Vitamin D (D2 + D3) (mcg)
DR1IVK,Vitamin K (mcg)
DR1ICALC,Calcium (mg)
DR1IPHOS,Phosphorus (mg)
DR1IMAGN,Magnesium (mg)
DR1IIRON,Iron (mg)
DR1IZINC,Zinc (mg)
DR1ICOPP,Copper (mg)
DR1ISODI,Sodium (mg)
DR1IPOTA,Potassium (mg)
DR1ISELE,Selenium (mcg)
DR1ICAFF,Caffeine (mg)
DR1ITHEO,Theobromine (mg)
DR1IALCO,Alcohol (gm)
DR1IMOIS,Moisture (gm)
DR1IS040,SFA 4:0 (Butanoic) (gm)
DR1IS060,SFA 6:0 (Hexanoic) (gm)
DR1IS080,SFA 8:0 (Octanoic) (gm)
DR1IS100,SFA 10:0 (Decanoic) (gm)
DR1IS120,SFA 12:0 (Dodecanoic) (gm)
DR1IS140,SFA 14:0 (Tetradecanoic) (gm)
DR1IS160,SFA 16:0 (Hexadecanoic) (gm)
DR1IS180,SFA 18:0 (Octadecanoic) (gm)
DR1IM161,MFA 16:1 (Hexadecenoic) (gm)
DR1IM181,MFA 18:1 (Octadecenoic) (gm)
DR1IM201,MFA 20:1 (Eicosenoic) (gm)
DR1IM221,MFA 22:1 (Docosenoic) (gm)
DR1IP182,PFA 18:2 (Octadecadienoic) (gm)
DR1IP183,PFA 18:3 (Octadecatrienoic) (gm)
DR1IP184,PFA 18:4 (Octadecatetraenoic) (gm)
DR1IP204,PFA 20:4 (Eicosatetraenoic) (gm)
DR1IP205,PFA 20:5 (Eicosapentaenoic) (gm)
DR1IP225,PFA 22:5 (Docosapentaenoic) (gm)
DR1IP226,PFA 22:6 (Docosahexaenoic) (gm)
DR2ILINE,Food/Individual component number
DR2DRSTZ,Dietary recall status
DR2EXMER,Interviewer ID code
DR2DBIH,# of days b/w intake and HH interview
DR2DAY,Intake day of the week
DR2LANG,Language respondent used mostly
DR2CCMNM,Combination food number
DR2CCMTX,Combination food type
DR2_020,Time of eating occasion (HH:MM)
DR2_030Z,Name of eating occasion
DR2FS,Source of food
DR2_040Z,Did you eat this meal at home?
DR2IFDCD,USDA food code
DR2IGRMS,Grams
DR2IKCAL,Energy (kcal)
DR2IPROT,Protein (gm)
DR2ICARB,Carbohydrate (gm)
DR2ISUGR,Total sugars (gm)
DR2IFIBE,Dietary fiber (gm)
DR2ITFAT,Total fat (gm)
DR2ISFAT,Total saturated fatty acids (gm)
DR2IMFAT,Total monounsaturated fatty acids (gm)
DR2IPFAT,Total polyunsaturated fatty acids (gm)
DR2ICHOL,Cholesterol (mg)
DR2IATOC,Vitamin E as alpha-tocopherol (mg)
DR2IATOA,Added alpha-tocopherol (Vitamin E) (mg)
DR2IRET,Retinol (mcg)
DR2IVARA,"Vitamin A, RAE (mcg)"
DR2IACAR,Alpha-carotene (mcg)
DR2IBCAR,Beta-carotene (mcg)
DR2ICRYP,Beta-cryptoxanthin (mcg)
DR2ILYCO,Lycopene (mcg)
DR2ILZ,Lutein + zeaxanthin (mcg)
DR2IVB1,Thiamin (Vitamin B1) (mg)
DR2IVB2,Riboflavin (Vitamin B2) (mg)
DR2INIAC,Niacin (mg)
DR2IVB6,Vitamin B6 (mg)
DR2IFOLA,Total folate (mcg)
DR2IFA,Folic acid (mcg)
DR2IFF,Food folate (mcg)
DR2IFDFE,"Folate, DFE (mcg)"
DR2ICHL,Total choline (mg)
DR2IVB12,Vitamin B12 (mcg)
DR2IB12A,Added vitamin B12 (mcg)
DR2IVC,Vitamin C (mg)
DR2IVD,Vitamin D (D2 + D3) (mcg)
DR2IVK,Vitamin K (mcg)
DR2ICALC,Calcium (mg)
DR2IPHOS,Phosphorus (mg)
DR2IMAGN,Magnesium (mg)
DR2IIRON,Iron (mg)
DR2IZINC,Zinc (mg)
DR2ICOPP,Copper (mg)
DR2ISODI,Sodium (mg)
DR2IPOTA,Potassium (mg)
DR2ISELE,Selenium (mcg)
DR2ICAFF,Caffeine (mg)
DR2ITHEO,Theobromine (mg)
DR2IALCO,Alcohol (gm)
DR2IMOIS,Moisture (gm)
DR2IS040,SFA 4:0 (Butanoic) (gm)
DR2IS060,SFA 6:0 (Hexanoic) (gm)
DR2IS080,SFA 8:0 (Octanoic) (gm)
DR2IS100,SFA 10:0 (Decanoic) (gm)
DR2IS120,SFA 12:0 (Dodecanoic) (gm)
DR2IS140,SFA 14:0 (Tetradecanoic) (gm)
DR2IS160,SFA 16:0 (Hexadecanoic) (gm)
DR2IS180,SFA 18:0 (Octadecanoic) (gm)
DR2IM161,MFA 16:1 (Hexadecenoic) (gm)
DR2IM181,MFA 18:1 (Octadecenoic) (gm)
DR2IM201,MFA 20:1 (Eicosenoic) (gm)
DR2IM221,MFA 22:1 (Docosenoic) (gm)
DR2IP182,PFA 18:2 (Octadecadienoic) (gm)
DR2IP183,PFA 18:3 (Octadecatrienoic) (gm)
DR2IP184,PFA 18:4 (Octadecatetraenoic) (gm)
DR2IP204,PFA 20:4 (Eicosatetraenoic) (gm)
DR2IP205,PFA 20:5 (Eicosapentaenoic) (gm)
DR2IP225,PFA 22:5 (Docosapentaenoic) (gm)
DR2IP226,PFA 22:6 (Docosahexaenoic) (gm)
DR1MNRSP,Main respondent for this interview
DR1HELPD,Helped in responding for this interview
DBQ095Z,Type of table salt used
DBD100,How often add salt to food at table
DRQSPREP,Salt used in preparation?
DR1STY,Salt used at table yesterday?
DR1SKY,Type of salt used yesterday
DRQSDIET,On special diet?
DRQSDT1,Weight loss/Low calorie diet
DRQSDT2,Low fat/Low cholesterol diet
DRQSDT3,Low salt/Low sodium diet
DRQSDT4,Sugar free/Low sugar diet
DRQSDT5,Low fiber diet
DRQSDT6,High fiber diet
DRQSDT7,Diabetic diet
DRQSDT8,Weight gain/Muscle building diet
DRQSDT9,Low carbohydrate diet
DRQSDT10,High protein diet
DRQSDT11,Gluten-free/Celiac diet
DRQSDT12,Renal/Kidney diet
DRQSDT91,Other special diet
DR1TNUMF,Number of foods/beverages reported
DR1TKCAL,Energy (kcal)
DR1TPROT,Protein (gm)
DR1TCARB,Carbohydrate (gm)
DR1TSUGR,Total sugars (gm)
DR1TFIBE,Dietary fiber (gm)
DR1TTFAT,Total fat (gm)
DR1TSFAT,Total saturated fatty acids (gm)
DR1TMFAT,Total monounsaturated fatty acids (gm)
DR1TPFAT,Total polyunsaturated fatty acids (gm)
DR1TCHOL,Cholesterol (mg)
DR1TATOC,Vitamin E as alpha-tocopherol (mg)
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg)
DR1TRET,Retinol (mcg)
DR1TVARA,"Vitamin A, RAE (mcg)"
DR1TACAR,Alpha-carotene (mcg)
DR1TBCAR,Beta-carotene (mcg)
DR1TCRYP,Beta-cryptoxanthin (mcg)
DR1TLYCO,Lycopene (mcg)
DR1TLZ,Lutein + zeaxanthin (mcg)
DR1TVB1,Thiamin (Vitamin B1) (mg)
DR1TVB2,Riboflavin (Vitamin B2) (mg)
DR1TNIAC,Niacin (mg)
DR1TVB6,Vitamin B6 (mg)
DR1TFOLA,Total folate (mcg)
DR1TFA,Folic acid (mcg)
DR1TFF,Food folate (mcg)
DR1TFDFE,"Folate, DFE (mcg)"
DR1TCHL,Total choline (mg)
DR1TVB12,Vitamin B12 (mcg)
DR1TB12A,Added vitamin B12 (mcg)
DR1TVC,Vitamin C (mg)
DR1TVD,Vitamin D (D2 + D3) (mcg)
DR1TVK,Vitamin K (mcg)
DR1TCALC,Calcium (mg)
DR1TPHOS,Phosphorus (mg)
DR1TMAGN,Magnesium (mg)
DR1TIRON,Iron (mg)
DR1TZINC,Zinc (mg)
DR1TCOPP,Copper (mg)
DR1TSODI,Sodium (mg)
DR1TPOTA,Potassium (mg)
DR1TSELE,Selenium (mcg)
DR1TCAFF,Caffeine (mg)
DR1TTHEO,Theobromine (mg)
DR1TALCO,Alcohol (gm)
DR1TMOIS,Moisture (gm)
DR1TS040,SFA 4:0 (Butanoic) (gm)
DR1TS060,SFA 6:0 (Hexanoic) (gm)
DR1TS080,SFA 8:0 (Octanoic) (gm)
